handle,type,id,urn,url,posted_at_iso,posted_at_ms,time_rel,is_edited,author_handle,author_name,author_kind,author_headline,is_own,is_reshare,reshared_inner_id,reshared_inner_urn,text,has_image,has_video,has_document,has_article,has_poll,has_event,has_celebration,image_urls,article_title,article_url,reactions,comments,reposts
logan-hendrickson,all,,urn:li:activity:7315349035853180929,https://www.linkedin.com/feed/update/urn:li:activity:7315349035853180929/,2025-04-08T12:25:22.760000+00:00,1744115122760,,false,,,,,,,,,This is the story of how a post by Matt Hodges sent me down a path with Granola and my experience as a potential buyer. Find out whether I ended up converting or not 🍿,false,false,false,false,false,,,,,,125,55,55
logan-hendrickson,all,,urn:li:activity:7333473379179536385,https://www.linkedin.com/feed/update/urn:li:activity:7333473379179536385/,2025-05-28T12:45:02.943000+00:00,1748436302943,,false,,,,,,,,,"I used to think positioning was the most important part of product marketing. Then I hit a wall with some clients and realized I was wrong.

Here’s the shift that changed how I approach every project now.

The difference between positioning, messaging, and copy is ironically still a debate among PMMs. But one thing is becoming clear:

You have to be great at all 3... but you need to be *the best* at messaging.

Hear me out:

It is a spectrum.

One end -- strategy, high level, brand, identity.

The other -- direct response, sales, action.

On the strategy end is positioning. Which is becoming a whole thing... an industry almost. There are people who ""own"" the positioning space. I'll name a few but it's just the ones that pop into my head first (because of... positioning).

- April Dunford
- FletchPMM (Anthony Pierri and Robert Kaminski 🎯)
- Andy Raskin
- Jon Itkin

Many of these awesome people were product marketers, but not all of them and not anymore. It's different. And there is a (good) reason they have to work with execs to do good positioning work.


On the other end of the spectrum is copywriting. There are tons of great copywriters and content marketers but the modern day folks that pop into my head are:

- 🇺🇦 Eddie Shleyner
- Devin Reed
- Brooklin Nash 💡
- Emma Stratton (I know I know she does messaging too but I think she's a copywriter at heart...)

I won't even get into how AI can play a part in either end of this spectrum.

But who ""owns"" the middle? 

It has got to be product marketers. Who -- don't get me wrong -- must be great at many things including positioning and copywriting. But messaging is our bread and butter. We are the owners of messaging and we need to act like it!

----

I run a messaging consulting company with this T-shape in mind. I help businesses fix their confusing messaging and we focus on the middle -- the messaging. Yes, we make sure the positioning components are there. Yes, you walk away with final, production-ready copy. But we are primarily working hard on nailing your messaging. And I obsess over it. The product page flows easy after that... and then your customers come next.

So... yeah, I want to be one of the names in the ""messaging"" bucket that pops into someone's head. Not sure I'm there yet but I'm gonna keep trying!",true,false,false,false,false,,,https://media.licdn.com/dms/image/v2/D5622AQHKJX_udsgK4Q/feedshare-shrink_800/B56ZcTMA2SHEAk-/0/1748373606339?e=1781740800&v=beta&t=95DNF5Ef6yhiahxVsWB00QVchLomd3aJVdy1-ZjUYD4,,,293,51,51
logan-hendrickson,all,,urn:li:activity:7331299055832047619,https://www.linkedin.com/feed/update/urn:li:activity:7331299055832047619/,2025-05-22T12:45:03.860000+00:00,1747917903860,,false,,,,,,,,,"To my surprise I recently had some *product marketers* disagreeing with me on this. Let's dig into it:
 
People have been talking about this for a long time. I literally have 3 books sitting on my desk right now, next to some protein bar wrappers and an empty cup of coffee.

--> Very Good Copy by 🇺🇦 Eddie Shleyner
--> Make it Punchy by Emma Stratton
--> Sales Pitch by April Dunford (and by proxy... I have Obviously Awesome by her as well)
 
3 books, all on 3 distinct topics that we're constantly debating about. Copy, messaging, positioning.
 
Without going into all the different ways people have delineated the differences over the years, let's talk about it with a metaphor -- the english language's favorite way of explaining things.
 
Let's say when we are figuring out how we want to communicate about our product/service/business we're making a movie.

1. We need to be known, recognized, and sought out by certain movie-goers.

2. We need to tell a certain story.

3. We need to tell that story in a particular way.
 
Positioning is the type of movie we're making.
Are we making a rom-com or a thriller? A low budget indie film or something with a million celebrities and explosions? Who are we competing against? Who is our target audience (literally)? Who is this movie made for?
 
Positioning is strategy. 
 
Messaging is the plot. 
Messaging is the story arc, the characters, the conflict, the resolution. The story you are telling. The most important part here is the story... not the exact details of how that story gets told.
 
Messaging is storytelling.
 
 
Copy is the script.
Copy is the dialogue and the actual words on the page that make the story emotional and clear.
 
Copy brings it to life.
 
This is why positioning drives the entire business. Messaging informs ALL the content. And copy is different on every asset depending on a number of factors.
 
When I work with clients our first step is aligning product messaging using a system I call my Messaging Blueprint --> it has everything we need to go and write amazing copy for their product pages (and beyond) but it is not the same thing.
 
What do you think? How else have you heard this explained that is helpful to you?",false,false,false,false,false,,,,,,351,58,58
logan-hendrickson,all,,urn:li:activity:7465439420247191553,https://www.linkedin.com/feed/update/urn:li:activity:7465439420247191553/,2026-05-27T16:30:58.944000+00:00,1779899458944,,false,,,,,,,,,"My friend Anthony Pierri has literally 10x more followers than me.

To celebrate here are 10 things I disagree with him on...

1. ICPs are limiting beliefs. Startups should try to sell to everyone.

2. Your series A announcement video is way more valuable than your homepage.

3. Hiring more people is the key to growth. Any company with less than 30 is a joke.

4. The Founders who want to innovate and stay ahead of the market are those that pivot and rebrand the most.

5. Being data-driven means you A/B test every single thing you can. Down to every word on the website.

6. Hire fast. Fire fast. Become an AI company even faster.

7. If prospects don’t understand your product, then they are dumb.

8. When in doubt, create your own category.

9. If you become known for a single thing, that's boring and you probably aren’t cutting edge enough.

10. Software is dead and you can vibe code any app basically for free.",true,false,false,false,false,,,https://media.licdn.com/dms/image/v2/D4D22AQEG8ovUmA881g/feedshare-image-high-res/B4DZ5qMo63JEAU-/0/1779898159015?e=1781740800&v=beta&t=_2slu6aP0YHWkXPU9aA0ULb4MdkYGW6VilxICVqcaWk,,,85,23,0
logan-hendrickson,all,,urn:li:activity:7465110503447527424,https://www.linkedin.com/feed/update/urn:li:activity:7465110503447527424/,2026-05-26T18:43:59.068000+00:00,1779821039068,,false,,,,,,,,,"Start up founder hack: 

If you can't get more money from customers you can always try to get more money from investors.",true,false,false,false,false,,,https://media.licdn.com/dms/image/v2/D5622AQG9iL1KiugFJA/feedshare-shrink_800/B56Z5lmcg1HkAc-/0/1779821038129?e=1781740800&v=beta&t=M-G2h-wNlKREVts85iB93dl4PwT-3_Nv87lfDcE1aJM,,,301,43,43
logan-hendrickson,all,,urn:li:activity:7464672882640723969,https://www.linkedin.com/feed/update/urn:li:activity:7464672882640723969/,2026-05-25T13:45:02.137000+00:00,1779716702137,,false,,,,,,,,,"Me: I think I need to get a new phone now before my old one totally dies

7 year old son: I've heard of a store called Verizon that will take your old one and give you a new one for free

Me: (laughing) what do you mean you've heard of it?
.
.
.
He actually saw the same commercial 100 times while we watched a couple hours of sports over the weekend and I guess the repetition worked.

I'm actually amazed at how easy it was for him to recall the brand and their specific language about the trade-in value prop. 

Can't say I love it, but I am impressed.",false,false,false,false,false,,,,,,9,2,0
logan-hendrickson,all,,urn:li:activity:7463581974847201280,https://www.linkedin.com/feed/update/urn:li:activity:7463581974847201280/,2026-05-22T13:30:09.451000+00:00,1779456609451,,false,,,,,,,,,"been working on something for a while that is gonna see the light of day soon...


👀 


🏌‍♂️",true,false,false,false,false,,,https://media.licdn.com/dms/image/v2/D5622AQHoiXj_4OAdhg/feedshare-shrink_800/B56Z5M5JmGG0Ac-/0/1779406511068?e=1781740800&v=beta&t=rZcunsCB4oHynHVF2T5GWsPUsQrlv9Moi7jpnc1Oa2c,,,25,14,0
logan-hendrickson,all,,urn:li:activity:7462915935339765760,https://www.linkedin.com/feed/update/urn:li:activity:7462915935339765760/,2026-05-20T17:23:33.258000+00:00,1779297813258,,false,,,,,,,,,"I was surprised to see this tagline by a tool built for product managers.

It would be like if Hubspot said ""arm your salesforce with the best CRM""

Intentional? Careless mistake? Doesn't really matter?",true,false,false,false,false,,,https://media.licdn.com/dms/image/v2/D5622AQGuKyjhQivZyg/feedshare-shrink_480/B56Z5Gaf5NKsAk-/0/1779297812321?e=1781740800&v=beta&t=J4-WoKmQK0uvHse6k095jNs1CX1tsZT_7ZpOn8B9qck,,,6,5,0
logan-hendrickson,all,,urn:li:activity:7462495540816293888,https://www.linkedin.com/feed/update/urn:li:activity:7462495540816293888/,2026-05-19T13:33:03.393000+00:00,1779197583393,,false,,,,,,,,,"yesterday I said product names don't matter.

then I ate these and they are about 100x better than the branding and the name would suggest.

draw whatever conclusions you will... but I'm confused.",true,false,false,false,false,,,https://media.licdn.com/dms/image/v2/D5622AQEGF2E8LKORFg/feedshare-shrink_800/B56Z5AcJRyKwAc-/0/1779197582823?e=1781740800&v=beta&t=YSyky-s6SATgeV6Gfez-YV5t32QY0fOryldI-JGGsHs,,,9,21,0
logan-hendrickson,all,,urn:li:activity:7462129698383372288,https://www.linkedin.com/feed/update/urn:li:activity:7462129698383372288/,2026-05-18T13:19:19.760000+00:00,1779110359760,,false,,,,,,,,,"I feel very confident that most product names barely matter.

A lot of people (usually not marketers) obsess over naming products because they think that is silver bullet for positioning:

--> Copilot
--> Pulse
--> IQ
--> Flow
--> Insight
--> Nexus
--> Command Center

These could technically be ANYTHING.

Even add a narrow vertical name to them and it doesn't change much:

--> B2BCopilot
--> ContractorPulse
--> SalesIQ
--> MedicalFlow
--> ConstructionInsight
--> TruckingNexus
--> AI Command Center


Almost nobody shops based on product names.

They shop based on the job they need done.

Nobody buys:
“RevenueOS.”

They buy:
“software that routes inbound leads instantly.”

There are exceptions:
TurboTax
QuickBooks
DocuSign
SurveyMonkey
PayPal

But I would argue that these brands are becoming more household names from a BRAND strategy POV... not a product one.

If your positioning is unclear, no product name will save it.

If your positioning is clear, the name usually matters way less than you think.",false,false,false,false,false,,,,,,36,12,12
